SERVER RETURN CODES
BL00:	incorect/missing access password
BL01:	connect to database failed
BL02:	selecting table failed
BL03:	server created successfully
BL04:	server name already taken
BL05:	server deleted successfully
BL06:	failed to delete server
BL07:	failed to get servers
BL08:	no servers hosted
BL09:	could not find server by that name
BL10:	server is full
BL11:	failed to update players
BL12:	updated players
BL13:	got lobby successfully
BC00:	username taken
BC01:	account created
BC02:	failed to find account by that name
BC03:	incorrect password
BC04:	login success
BC05:
